,Variable,Coefficient,P-value
113,C(COMPANY_ID)[T.1547],-4866746737.14286,0.3417100073301027
114,C(COMPANY_ID)[T.1552],8719727973.756973,0.34171000729395695
115,C(COMPANY_ID)[T.1561],-29208743033.108543,0.3417100073857433
116,C(COMPANY_ID)[T.1568],2112027720.816833,0.3417100077126879
117,C(COMPANY_ID)[T.157],42391490408.822754,0.3417100074502576
118,C(COMPANY_ID)[T.1573],-29208743036.725136,0.3417100073260012
119,C(COMPANY_ID)[T.1582],-1076658043.9500363,0.34171000769044946
120,C(COMPANY_ID)[T.1583],2846990705.3535843,0.34171000721633915
121,C(COMPANY_ID)[T.1589],2846990704.787925,0.341710007312213
122,C(COMPANY_ID)[T.1598],-4173102898.513754,0.34171000742038893
123,C(COMPANY_ID)[T.16],417175055.663098,0.34171000612106295
124,C(COMPANY_ID)[T.1603],417175053.0605463,0.341710009132159
125,C(COMPANY_ID)[T.1608],613345566.2195828,0.3417100057905087
126,C(COMPANY_ID)[T.1628],-1471402737.2446275,0.34171000754641534
127,C(COMPANY_ID)[T.1637],-1471402737.67908,0.34171000740387625
128,C(COMPANY_ID)[T.1645],-4866746737.289133,0.34171000731548873
129,C(COMPANY_ID)[T.1649],-1471402734.4207501,0.341710008472768
130,C(COMPANY_ID)[T.1652],2112027722.9085498,0.3417100072346074
131,C(COMPANY_ID)[T.1672],-198568023.7071445,0.3417100073810655
132,C(COMPANY_ID)[T.1679],613345563.6914322,0.34171000777788385
133,C(COMPANY_ID)[T.1686],417175051.953063,0.34171001041399907
134,C(COMPANY_ID)[T.1687],-4866746736.261286,0.34171000741747926
135,C(COMPANY_ID)[T.17],3173357200.657138,0.34171000777676785
136,C(COMPANY_ID)[T.1719],-29208743032.540237,0.34171000739516677
137,C(COMPANY_ID)[T.1732],-29208743033.147682,0.34171000738515966
138,C(COMPANY_ID)[T.1740],-29208743033.01883,0.3417100073872483
139,C(COMPANY_ID)[T.1746],-29208743032.236076,0.34171000740024493
140,C(COMPANY_ID)[T.1751],417175055.89432573,0.34171000585344435
141,C(COMPANY_ID)[T.1754],-4866746737.266424,0.34171000731776646
142,C(COMPANY_ID)[T.1762],-4866746737.381029,0.34171000730650203
143,C(COMPANY_ID)[T.1771],2846990702.3544483,0.3417100077248313
144,C(COMPANY_ID)[T.1772],417175057.0581404,0.3417100045064506
145,C(COMPANY_ID)[T.1773],135497076371.09692,0.3417100073852922
146,C(COMPANY_ID)[T.1778],-4866746737.663492,0.34171000727842404
147,C(COMPANY_ID)[T.1782],-4866746735.382217,0.3417100075046585
148,C(COMPANY_ID)[T.1784],2112027723.1103458,0.3417100071884769
149,C(COMPANY_ID)[T.1785],-4866746737.509783,0.3417100072936171
150,C(COMPANY_ID)[T.1789],2846990706.3152723,0.34171000705329846
151,C(COMPANY_ID)[T.179],194893403.43109828,0.3417100073810715
152,C(COMPANY_ID)[T.1794],-1471402737.2941303,0.3417100075301298
153,C(COMPANY_ID)[T.1816],-5490601994.694731,0.3417100074064212
154,C(COMPANY_ID)[T.1817],-4866746738.377432,0.3417100072075898
155,C(COMPANY_ID)[T.182],-29208743034.16723,0.34171000736824353
156,C(COMPANY_ID)[T.1832],-1.7260534415943616,0.0015258884893197665
157,C(COMPANY_ID)[T.1844],613345563.6429567,0.3417100078166794
158,C(COMPANY_ID)[T.1857],2112027721.3642287,0.3417100075875289
159,C(COMPANY_ID)[T.1858],-1.2936919557529782,0.0002165186570876566
160,C(COMPANY_ID)[T.1859],-1471402738.204207,0.3417100072316286
161,C(COMPANY_ID)[T.1863],135497076370.52414,0.3417100073873156
162,C(COMPANY_ID)[T.1865],-29208743035.05079,0.34171000735364787
163,C(COMPANY_ID)[T.1867],-29208743033.510284,0.34171000737911794
164,C(COMPANY_ID)[T.1868],-1471402738.7783966,0.3417100070433121
165,C(COMPANY_ID)[T.1876],417175053.2951511,0.3417100088608648
166,C(COMPANY_ID)[T.1879],-1471402736.155408,0.3417100079040243
167,C(COMPANY_ID)[T.1889],-4866746736.839798,0.3417100073601106
168,C(COMPANY_ID)[T.1895],3173357204.6447096,0.34171000717027755
169,C(COMPANY_ID)[T.19],613345563.6485162,0.3417100078122891
170,C(COMPANY_ID)[T.1902],-1471402738.1871357,0.3417100072372685
171,C(COMPANY_ID)[T.1922],-4866746737.833069,0.34171000726160616
172,C(COMPANY_ID)[T.1931],3173357203.3236637,0.34171000737125046
173,C(COMPANY_ID)[T.1934],-1471402736.884109,0.34171000766469695
