Variable,Coefficient,P-value
C(COMPANY_ID)[T.3382],30.516019125288196,0.054954721456920416
C(COMPANY_ID)[T.3389],-0.0311616232562153,0.6129902208259537
C(COMPANY_ID)[T.3390],40.79964794100437,0.005319884874997673
C(COMPANY_ID)[T.3401],7.142428338922272,0.759102902847587
C(COMPANY_ID)[T.3409],10.246867066156415,0.5057525153512862
C(COMPANY_ID)[T.3410],194.8256786756573,0.6148973201878432
C(COMPANY_ID)[T.3419],-775.6237752256584,0.2629542756226687
C(COMPANY_ID)[T.3434],-3.318289300706283,0.9141265382388968
C(COMPANY_ID)[T.3440],22.429153229535512,0.04505418914019456
C(COMPANY_ID)[T.3456],30.963252691747158,0.15984838169969476
C(COMPANY_ID)[T.3457],10.906122303465262,0.4550011144259791
C(COMPANY_ID)[T.3467],10.776491857878938,0.45483160144522483
C(COMPANY_ID)[T.3472],18.125460773193254,0.9065917526694738
C(COMPANY_ID)[T.3476],32.118046614205156,0.05209043924089092
C(COMPANY_ID)[T.3497],19.672648002785365,0.7835621287639442
C(COMPANY_ID)[T.3500],4.725540443861249,0.8276173003302446
C(COMPANY_ID)[T.3507],-0.14219676333976936,0.08176632918947647
C(COMPANY_ID)[T.3510],21.347273404980612,0.4949828188540305
C(COMPANY_ID)[T.3511],24.80192211343313,0.12656516335626844
C(COMPANY_ID)[T.3517],1.9641326403180734,0.8782215980538337
C(COMPANY_ID)[T.3537],35.29546776734384,0.2436377677157755
C(COMPANY_ID)[T.3540],0.07561991662694201,0.3673924922236058
C(COMPANY_ID)[T.3547],-246.19314896557012,0.0016711827470202991
C(COMPANY_ID)[T.3549],14.723502118525545,0.41076752411712303
C(COMPANY_ID)[T.3552],35.24905254979647,0.1303919343232335
C(COMPANY_ID)[T.3582],-13.191699351739654,0.4650672185699043
C(COMPANY_ID)[T.3592],42.005565207260474,0.2673997404114323
C(COMPANY_ID)[T.3599],9.035024367483972,0.6354717097523118
C(COMPANY_ID)[T.3607],-71.30646531078355,0.5876722613776753
C(COMPANY_ID)[T.3608],63.35153080093394,0.01726312729557175
C(COMPANY_ID)[T.3617],375.1803094041411,0.18325080732719615
C(COMPANY_ID)[T.3618],17.291738399553537,0.7420946606599017
C(COMPANY_ID)[T.3619],0.9014427285570434,0.9939212233081314
C(COMPANY_ID)[T.3628],37.34337336471421,0.024735850292112064
C(COMPANY_ID)[T.3630],88.36618201356691,0.7021496159956648
C(COMPANY_ID)[T.364],0.009337746944888647,0.9422109433692002
C(COMPANY_ID)[T.3641],-227.70236471246187,0.07954944353974816
C(COMPANY_ID)[T.3643],-334.83435653314723,0.3409359547933102
C(COMPANY_ID)[T.3644],0.03995342190287454,0.4914832965684628
C(COMPANY_ID)[T.3646],-0.004439621517063785,0.9401514480976685
C(COMPANY_ID)[T.3669],-21.434049328283436,0.8842675973259997
C(COMPANY_ID)[T.3674],43.93727985582973,0.22458935676014072
C(COMPANY_ID)[T.3681],8.749191381052384,0.5734353787523392
C(COMPANY_ID)[T.3685],-56.41507870954301,0.7285592431566382
C(COMPANY_ID)[T.369],174.04120397035726,2.471167175021256e-10
C(COMPANY_ID)[T.3691],33.116063936224066,0.25010391002835963
C(COMPANY_ID)[T.3692],19.59457237062,0.3743797502791816
C(COMPANY_ID)[T.3693],-514.9822300394376,0.007475931565657732
C(COMPANY_ID)[T.3699],252.85535246759954,0.25239391716192117
C(COMPANY_ID)[T.3700],-14.321752976233086,0.7397337936163524
C(COMPANY_ID)[T.3702],-46.97963618606531,0.18048853210080978
C(COMPANY_ID)[T.3707],28.287432568360543,0.5432325230174253
C(COMPANY_ID)[T.3718],400.65255216598143,0.6839657685294369
C(COMPANY_ID)[T.3720],18.280589023551777,0.30819006667814625
C(COMPANY_ID)[T.3722],-117.99464584761014,0.2212545836647298
C(COMPANY_ID)[T.3728],43.91187047027806,0.0122003243138431
C(COMPANY_ID)[T.3736],-866.380074743337,0.2236813644663532
C(COMPANY_ID)[T.3744],-130.73270023604374,0.1005397352107246
C(COMPANY_ID)[T.3748],0.05214634691145176,0.4203204835504333
C(COMPANY_ID)[T.3750],-26.927968754717448,0.11929205798259233
C(COMPANY_ID)[T.3751],-23.630217242738894,0.46384007129440274
C(COMPANY_ID)[T.3752],29.753660054322125,0.08639701021167419
C(COMPANY_ID)[T.3754],19.995037145460174,0.8965106070708038
C(COMPANY_ID)[T.3769],-3.0748401797941938,0.8983951806339889
C(COMPANY_ID)[T.377],0.08976384356746192,0.16251132120529804
C(COMPANY_ID)[T.3770],-16.53806267559682,0.2572057608117863
C(COMPANY_ID)[T.3773],-149.06961454630886,0.10045496141751488
C(COMPANY_ID)[T.3778],54.204283955795496,0.0008819703665130942
C(COMPANY_ID)[T.3779],32.994259585335016,0.45329455645463923
C(COMPANY_ID)[T.3792],147.12492455222585,0.022227484173110424
C(COMPANY_ID)[T.3794],42.262460776950554,0.0317869087155394
C(COMPANY_ID)[T.3798],17.97557813494771,0.7357061809218071
C(COMPANY_ID)[T.3799],48.40049130588727,0.7813592421977426
C(COMPANY_ID)[T.3811],5.280681251306401,0.7818996997097988
